FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2012 ORDINANCE (AMOUNT $)
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,153,PROMOTIONS,$1200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,157,RENTAL EQUIPMENT AND SERVICES,$30000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,162,REPAIR/MAINT EQUIPMENT,$20000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,166,DUES  SUBSC & MEM,$12200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,169,TECHNICAL MEETING COSTS,$6600
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,178,FREIGHT/EXPENSE CHARGES,$200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,181,MOBILE COMM SERVICES,$12980
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,190,TELEPHONE-CENTREX,$22000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,191,TELEPHONE-RELOCATIONS,$1000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,197,TELEPHONE-MAINTENANCE,$4300
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,229,TRAN/EXP ALLOWANCE,$1080
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,245,REIMBURSEMENT TRAVELERS,$9000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,340,MATERIAL AND SUPPLIES,$17750
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,345,APPARATUS AND INSTRUMENTS,$2000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,348,BOOKS AND RELATED MTL,$1700
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,350,STATIONERY AND OFFICE SUPPL,$4000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,9041,PAYMENT SPECIAL ASSESMT,$1500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,9142,X-OFFENDER/RE-ENTRY INI,$300000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$10635419
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,12,CONTRACT WAGE-PR,$148386
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,15,SCHEDULE SALARY ADJ,$3146
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,20,OVERTIME,$98775
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,39,STUDENT AS TRAINEES,$12000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,130,POSTAGE,$396
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,140,PROF & TECHNICAL SERVICES,$60000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,149,SOFTWARE MAINT/LICENSING,$6000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,154,RENTAL-DATA HARDWARE EQ,$4500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,$127750
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,159,LEASE PURCHASE AGREEMNT,$30154
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$20104
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,181,MOBILE COMM SERVICES,$11790
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,188,VEHICLE TRACKING SERVICE,$56140
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,189,TELEPHONE NON-CENTREX,$900
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,190,TELEPHONE-CENTREX,$42000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,196,DATA CIRCUITS,$78000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,197,TELEPHONE-MAINTENANCE,$8000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,229,TRAN/EXP ALLOWANCE,$74700
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,319,CLOTHING,$6200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,340,MATERIAL AND SUPPLIES,$276500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,350,STATIONERY AND OFFICE SUPPL,$19250
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,360,REPAIR PARTS AND MATERIAL,$27000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,362,PAINT/PAINTING SUPPLIES,$2499
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,363,STRUCTURE STEEL IRON OT,$40000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,365,ELECTRICAL SUPPLIES,$203000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,5,SALARIES AND WAGES - ON PAYROLL,$9892570
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,12,CONTRACT WAGE-PR,$127698
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,20,OVERTIME,$101985
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,130,POSTAGE,$250
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,140,PROF & TECHNICAL SERVICES,$25000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,152,ADVERTISING,$300
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,157,RENTAL EQUIPMENT AND SERVICES,$79859
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,159,LEASE PURCHASE AGREEMNT,$1423
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,160,REPAIR/MAINT PROPERTY,$50000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,162,REPAIR/MAINT EQUIPMENT,$17000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,169,TECHNICAL MEETING COSTS,$150
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,178,FREIGHT/EXPENSE CHARGES,$225
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,185,WASTE DISPOSAL SERV,$35365
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,188,VEHICLE TRACKING SERVICE,$45540
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,190,TELEPHONE-CENTREX,$52000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,197,TELEPHONE-MAINTENANCE,$11200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,229,TRAN/EXP ALLOWANCE,$11000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,245,REIMBURSEMENT TRAVELERS,$400
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,313,CLEANING AND SAN SUPPLY,$1000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,319,CLOTHING,$4900
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,340,MATERIAL AND SUPPLIES,$251000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,350,STATIONERY AND OFFICE SUPPL,$3000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,365,ELECTRICAL SUPPLIES,$19500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,440,MACHINERY AND EQUIPMENT,$15325
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,$87041568
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,39,STUDENT AS TRAINEES,$298400
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,$192265730
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,43,TEXT FILE - EXTRA LONG,$1050000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANC,$3313117
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKER'S COMPENSATION,$31900000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,51,UNEMPLY INSURANCE CLAIM,$10902712
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,CLAIMS MED CARE-ANN/DEP,$95145379
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,PREM DENTAL PLAN,$11090751
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,70,TUITION REIMBURSEMENT,$205000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,95,ALLOW FAMILIES POL/FIRE,$200000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,96,TEXT FILE - EXTRA LONG,$250000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,PROF SERV-IT MAINT,$15238240
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROF & TECHNICAL SERVICES,$20821857
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,$2090000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,157,RENTAL EQUIPMENT AND SERVICES,$66792
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,170,SURETY BOND PREMIUMS,$50000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,172,INSURANCE PREMIUMS,$1304948
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,931,TORT/NON-TORT JUDGMENT,$7118042
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,934,CLAIMS AGAINST THE CITY,$100000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,939,TEXT FILE - EXTRA LONG,$7000000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,991,MATCHING & SUPP-BUDG DR,$4176274
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9011,SUMMER JOBS PROGRAM,$2700000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9027,SOCIAL SECURITY TAX,$1044787
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9030,AFTER SCHOOL PROGRAMS,$3100000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,$38055840
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9121,LOBBYIST COSTS,$480000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9165,OUTSOURCING-DATA CENTER,$2466024
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9168,FOR CHILDREN'S ADVOCACY,$900000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9176,WEST NILE VIRUS PROGRAM,$725000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9180,WORLD BUSINESS CHICAGO,$1000000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9232,INNOVATION LOAN FUND,$20000000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9540,PAYT GEN/OB-CERTIFICATE,$2380000
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9635,REIMBUSE-FIRE SALARY-MW,$3919792
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9636,REIMBUSE-FIRE BNFIT-MW,$1076104
Local,100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9638,FOR CORP SUBSIDY OF CPL,$8965000
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,$830986
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,$3162
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,$683
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,$54580
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$48236
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,$350
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,$15876
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,$1200
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,$35108
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,$5827
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,$2424
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,$2688
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,$4672
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,$12753
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,$42325
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,$558
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,$1615
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,$4713
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,$3800
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,$1082
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,$10604
Local,200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,$5434
Local,200,WATER FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$110880
Local,200,WATER FUND,6,DOIT,2005,DOIT,138,PROF SERV-IT MAINT,$1166000
Local,200,WATER FUND,6,DOIT,2005,DOIT,139,PROF SERV-IT DEVELOPMENT,$200000
Local,200,WATER FUND,6,DOIT,2005,DOIT,140,PROF & TECHNICAL SERVICES,$3501364
Local,200,WATER FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINT/LICENSING,$13300
Local,200,WATER FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,$6552
Local,200,WATER FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,$219907
Local,200,WATER FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJ,$6729
Local,200,WATER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,154,RENTAL-DATA HARDWARE EQ,$50000
Local,200,WATER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,190,TELEPHONE-CENTREX,$19250
Local,200,WATER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,197,TELEPHONE-MAINTENANCE,$210
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,5,SALARIES AND WAGES - ON PAYROLL,$3638350
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,15,SCHEDULE SALARY ADJ,$21181
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,20,OVERTIME,$5000
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,125,OFF AND BUILDING SERV,$2000
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,130,POSTAGE,$1006709
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,140,PROF & TECHNICAL SERVICES,$2726480
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,150,PUBLICATN & REPRODT-OUT,$25000
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,157,RENTAL EQUIPMENT AND SERVICES,$17200
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,162,REPAIR/MAINT EQUIPMENT,$1342
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,179,MESSENGER SERVICES,$495
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,340,MATERIAL AND SUPPLIES,$3525
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,348,BOOKS AND RELATED MTL,$1400
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,350,STATIONERY AND OFFICE SUPPL,$27000
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,424,FURNITURE AND FURNISHINGS,$3000
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,952,CLAIMS WATER FUND,$425000
Local,200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,9438,REIMBURSEMENT - DGS,$5000
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,5,SALARIES AND WAGES - ON PAYROLL,$1290406
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,15,SCHEDULE SALARY ADJ,$1617
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,20,OVERTIME,$150
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,39,STUDENT AS TRAINEES,$1829
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,130,POSTAGE,$2347
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,138,PROF SERV-IT MAINT,$14857
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,140,PROF & TECHNICAL SERVICES,$50279
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,141,APPRAISALS,$960
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,143,COURT REPORTING,$53188
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,145,LEGAL EXPENSES,$13942
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,149,SOFTWARE MAINT/LICENSING,$857
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,150,PUBLICATN & REPRODT-OUT,$400
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,154,RENTAL-DATA HARDWARE EQ,$7280
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,157,RENTAL EQUIPMENT AND SERVICES,$619
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,162,REPAIR/MAINT EQUIPMENT,$300
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,166,DUES  SUBSC & MEM,$14044
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,169,TECHNICAL MEETING COSTS,$2721
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,178,FREIGHT/EXPENSE CHARGES,$325
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,181,MOBILE COMM SERVICES,$3066
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,190,TELEPHONE-CENTREX,$9359
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,197,TELEPHONE-MAINTENANCE,$2573
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,229,TRAN/EXP ALLOWANCE,$210
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,245,REIMBURSEMENT TRAVELERS,$5484
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,270,LOCAL TRANSPORTATION,$2262
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,348,BOOKS AND RELATED MTL,$1495
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,350,STATIONERY AND OFFICE SUPPL,$8142
Local,200,WATER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,9438,REIMBURSEMENT - DGS,$1563
Local,200,WATER FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,5,SALARIES AND WAGES - ON PAYROLL,$122651
Local,200,WATER FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,15,SCHEDULE SALARY ADJ,$479
Local,200,WATER FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,130,POSTAGE,$176
Local,200,WATER FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,140,PROF & TECHNICAL SERVICES,$10000
Local,200,WATER FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,270,LOCAL TRANSPORTATION,$500
Local,200,WATER FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,350,STATIONERY AND OFFICE SUPPL,$600
Local,200,WATER FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,5,SALARIES AND WAGES - ON PAYROLL,$191485
Local,200,WATER FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,15,SCHEDULE SALARY ADJ,$779
Local,200,WATER FUND,35,DEPARTMENT OF PROCUREMENT SERV,2005,DEPARTMENT OF PROCUREMENT SERV,190,TELEPHONE-CENTREX,$187
Local,200,WATER FUND,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,125,OFF AND BUILDING SERV,$110224
Local,200,WATER FUND,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,140,PROF & TECHNICAL SERVICES,$33974
Local,200,WATER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,$31775
Local,200,WATER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,$348830
Local,200,WATER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$2345000
