FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,AMOUNT
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,COUNCIL,CITY COUNCIL,2155,2155 - COMM ON SP EVENTS & CULT AFF,100,CONTRACTUAL SERVICES,$20394.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,COUNCIL,CITY COUNCIL,2155,2155 - COMM ON SP EVENTS & CULT AFF,300,COMMODITIES AND MATERIALS,$2000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,COUNCIL,CITY COUNCIL,2155,2155 - COMM ON SP EVENTS & CULT AFF,700,CONTINGENCIES,$2000.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,5,SALARIES AND WAGES - ON PAYROLL,$1725267.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,15,SCHEDULE SALARY ADJ,$10835.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-109330.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,39,STUDENT AS TRAINEES,$19900.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,130,POSTAGE,$2500.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,137,ACCOUNTING/AUDITING,$125000.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,138,PROF SERV-IT MAINT,$18000.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,140,PROF & TECHNICAL SERVICES,$229518.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,162,REPAIR/MAINT EQUIPMENT,$10104.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,166,DUES  SUBSC & MEM,$55639.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,169,TECHNICAL MEETING COSTS,$5250.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,179,MESSENGER SERVICES,$700.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,181,MOBILE COMM SERVICES,$900.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,189,TELEPHONE NON-CENTREX,$2792.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,190,TELEPHONE-CENTREX,$12000.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,196,DATA CIRCUITS,$1800.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,197,TELEPHONE-MAINTENANCE,$2000.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,245,REIMBURSEMENT TRAVELERS,$1178.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,270,LOCAL TRANSPORTATION,$1635.00
LOCAL,100,CORPORATE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,350,STATIONERY AND OFFICE SUPPL,$10000.00
LOCAL,740,O'HARE REVENUE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,5,SALARIES AND WAGES - ON PAYROLL,$61884.00
LOCAL,740,O'HARE REVENUE FUND,28,TREASURER,CITY TREASURER,2005,2005 - CITY TREASURER,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-5693.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,5,SALARIES AND WAGES - ON PAYROLL,$3119082.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,15,SCHEDULE SALARY ADJ,$16859.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,20,OVERTIME,$145000.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-130729.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,39,STUDENT AS TRAINEES,$7800.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,91,UNIFORM ALLOWANCE,$32950.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,130,POSTAGE,$4396.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,140,PROF & TECHNICAL SERVICES,$234745.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,150,PUBLICATN & REPRODT-OUT,$1427.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,152,ADVERTISING,$3300.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,154,RENTAL-DATA HARDWARE EQ,$2200.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,157,RENTAL EQUIPMENT AND SERVICES,$17400.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,162,REPAIR/MAINT EQUIPMENT,$5220.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,168,EDUCATION DEVELOPMENT,$4913.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,169,TECHNICAL MEETING COSTS,$1068.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,181,MOBILE COMM SERVICES,$26410.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,186,PAGERS,$156.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,190,TELEPHONE-CENTREX,$7500.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,196,DATA CIRCUITS,$2800.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,197,TELEPHONE-MAINTENANCE,$1400.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,245,REIMBURSEMENT TRAVELERS,$479.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,313,CLEANING AND SAN SUPPLY,$70028.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,330,FOOD,$100000.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,340,MATERIAL AND SUPPLIES,$16210.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,342,DRUGS MED AND CHEM MATL S,$217186.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,350,STATIONERY AND OFFICE SUPPL,$9411.00
LOCAL,100,CORPORATE FUND,73,ACC,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,360,REPAIR PARTS AND MATERIAL,$2093.00
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,ACC,COMM ANIMAL CARE AND CONTROL,2803,2803 - FRIENDS OF ANIMAL CARE CONTROL,5,SALARIES AND WAGES - ON PAYROLL,$57377.00
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,ACC,COMM ANIMAL CARE AND CONTROL,2803,2803 - FRIENDS OF ANIMAL CARE CONTROL,44,FRINGE BENEFITS,$20989.00
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,ACC,COMM ANIMAL CARE AND CONTROL,2803,2803 - FRIENDS OF ANIMAL CARE CONTROL,140,PROF & TECHNICAL SERVICES,$634.00
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,ACC,COMM ANIMAL CARE AND CONTROL,2804,2804 - CHICAGO WOLVES,5,SALARIES AND WAGES - ON PAYROLL,$133641.00
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,ACC,COMM ANIMAL CARE AND CONTROL,2804,2804 - CHICAGO WOLVES,15,SCHEDULE SALARY ADJ,$2492.00
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,ACC,COMM ANIMAL CARE AND CONTROL,2804,2804 - CHICAGO WOLVES,44,FRINGE BENEFITS,$48888.00
GRANTS,0P21,ANIMAL CARE AND CONTROL,73,ACC,COMM ANIMAL CARE AND CONTROL,2804,2804 - CHICAGO WOLVES,140,PROF & TECHNICAL SERVICES,$979.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,5,SALARIES AND WAGES - ON PAYROLL,$1875900.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,15,SCHEDULE SALARY ADJ,$4379.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,20,OVERTIME,$500.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-114758.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,130,POSTAGE,$7019.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,140,PROF & TECHNICAL SERVICES,$54692.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,143,COURT REPORTING,$8966.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,146,STATISTICAL STUDIES,$1589.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,157,RENTAL EQUIPMENT AND SERVICES,$13384.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,162,REPAIR/MAINT EQUIPMENT,$1260.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,166,DUES  SUBSC & MEM,$2000.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,169,TECHNICAL MEETING COSTS,$24500.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,181,MOBILE COMM SERVICES,$2565.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,186,PAGERS,$100.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,190,TELEPHONE-CENTREX,$4000.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,197,TELEPHONE-MAINTENANCE,$4700.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,229,TRAN/EXP ALLOWANCE,$341.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,270,LOCAL TRANSPORTATION,$3387.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,348,BOOKS AND RELATED MTL,$1760.00
LOCAL,100,CORPORATE FUND,45,CHR,COMMISSION ON HUMAN RELATIONS,2005,2005 - COMMISSION ON HUMAN RELATIONS,350,STATIONERY AND OFFICE SUPPL,$9097.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,5,SALARIES AND WAGES - ON PAYROLL,$297563.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,15,SCHEDULE SALARY ADJ,$735.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,20,OVERTIME,$500.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-15602.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,44,FRINGE BENEFITS,$108853.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,130,POSTAGE,$5400.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,138,PROF SERV-IT MAINT,$8958.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,140,PROF & TECHNICAL SERVICES,$8707.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,157,RENTAL EQUIPMENT AND SERVICES,$8325.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,169,TECHNICAL MEETING COSTS,$679.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,190,TELEPHONE-CENTREX,$5000.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,229,TRAN/EXP ALLOWANCE,$674.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,270,LOCAL TRANSPORTATION,$1260.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,348,BOOKS AND RELATED MTL,$2700.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,350,STATIONERY AND OFFICE SUPPL,$6916.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2505,2505 - EDUCATION  OUTREACH AND INTERG,9438,REIMBURSEMENT - DGS,$9955.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,5,SALARIES AND WAGES - ON PAYROLL,$412741.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,15,SCHEDULE SALARY ADJ,$2070.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-8728.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,44,FRINGE BENEFITS,$150987.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,130,POSTAGE,$1800.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,140,PROF & TECHNICAL SERVICES,$33030.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,143,COURT REPORTING,$11700.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,157,RENTAL EQUIPMENT AND SERVICES,$5824.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,190,TELEPHONE-CENTREX,$5000.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,270,LOCAL TRANSPORTATION,$400.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,350,STATIONERY AND OFFICE SUPPL,$612.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,9438,REIMBURSEMENT - DGS,$500.00
CDBG,0K37,(0K37) - CDBG,45,CHR,COMMISSION ON HUMAN RELATIONS,2510,2510 - FAIR HOUSING,9651,REIMREIMB CORP,$220000.00
LOCAL,100,CORPORATE FUND,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,5,SALARIES AND WAGES - ON PAYROLL,$64567.00
LOCAL,100,CORPORATE FUND,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,15,SCHEDULE SALARY ADJ,$910.00
LOCAL,100,CORPORATE FUND,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-6124.00
LOCAL,100,CORPORATE FUND,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,9801,SPECIAL EVENTS PROJECT,$500000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,5,SALARIES AND WAGES - ON PAYROLL,$2266670.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,15,SCHEDULE SALARY ADJ,$19429.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-263371.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,123,HONORARIUMS/PERFORMANCE,$31500.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,125,OFF AND BUILDING SERV,$23500.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,130,POSTAGE,$39181.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,135,DELEGATE AGENCIES,$484200.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,140,PROF & TECHNICAL SERVICES,$1990676.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,150,PUBLICATN & REPRODT-OUT,$36000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,153,PROMOTIONS,$9000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,157,RENTAL EQUIPMENT AND SERVICES,$7200.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,159,LEASE PURCHASE AGREEMNT,$60000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,161,MAINT FACILITIES,$70000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,172,INSURANCE PREMIUMS,$125896.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,181,MOBILE COMM SERVICES,$12690.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,189,TELEPHONE NON-CENTREX,$10000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,190,TELEPHONE-CENTREX,$114000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,191,TELEPHONE-RELOCATIONS,$4000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,197,TELEPHONE-MAINTENANCE,$22200.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,350,STATIONERY AND OFFICE SUPPL,$12422.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,900,SPECIFIC PURPOSE-FINANC,$59400.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,9188,MILLENNIUM PARK OPERATIONS,$6462775.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,9288,MILLENNIUM PARK PROGRAMMING,$674000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,9438,REIMBURSEMENT - DGS,$20500.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2005,2005 - BUREAU OF CULTURAL AFFAIRS,9440,REIMBURSEMENT - FLEET,$6743.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,5,SALARIES AND WAGES - ON PAYROLL,$3487717.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,15,SCHEDULE SALARY ADJ,$18603.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-313728.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,39,STUDENT AS TRAINEES,$45000.00
LOCAL,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,140,PROF & TECHNICAL SERVICES,$587000.00
